Origin IATA,Destination IATA,OCity,DCity,Fclass Seats,Bclass Seats,Eclass Seats,Total Seats
RDU,IND,Raleigh/Durham,Indianapolis,0,0,0,0
RDU,IND,Raleigh/Durham,Indianapolis,0,0,0,0
SMF,MEM,Sacramento,Memphis,0,0,0,0
MSN,MEM,Madison,Memphis,0,0,0,0
AFW,MEM,Fort Worth,Memphis,0,0,0,0
PDX,AFW,Portland,Fort Worth,0,0,0,0
SYR,IND,Syracuse,Indianapolis,0,0,0,0
CPR,MEM,Casper,Memphis,0,0,0,0
MSN,IND,Madison,Indianapolis,0,0,0,0
RST,ORD,Rochester,Chicago,0,0,0,0
HNL,OAK,Honolulu,Oakland,0,0,0,0
CDG,DWC,Paris,Dubai,0,0,0,0
CDG,AMS,Paris,Amsterdam,0,0,0,0
TYS,MEM,Knoxville,Memphis,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
CPR,MEM,Casper,Memphis,0,0,0,0
PHL,IND,Philadelphia,Indianapolis,0,0,0,0
JAX,ATL,Jacksonville,Atlanta,0,0,0,0
ABE,IND,Allentown,Indianapolis,0,0,0,0
BOS,ORD,Boston,Chicago,0,0,0,0
LAS,MEM,Las Vegas,Memphis,0,0,0,0
YYZ,IND,Toronto,Indianapolis,0,0,0,0
LAX,MEM,Los Angeles,Memphis,0,0,0,0
SLC,MEM,Salt Lake City,Memphis,0,0,0,0
CVG,MEM,Cincinnati,Memphis,0,0,0,0
MDT,IND,Harrisburg,Indianapolis,0,0,0,0
TLH,MCO,Tallahassee,Orlando,0,0,0,0
TYS,MEM,Knoxville,Memphis,0,0,0,0
CDG,KIX,Paris,Osaka,0,0,0,0
CDG,BER,Paris,Schönefeld,0,0,0,0
LGG,BSL,Liege,Mulhouse,0,0,0,0
ELP,IND,El Paso,Indianapolis,0,0,0,0
ONT,MEM,Ontario,Memphis,0,0,0,0
CAE,MEM,Columbia,Memphis,0,0,0,0
CAE,GSO,Columbia,Greensboro,0,0,0,0
HNL,KIX,Honolulu,Osaka,0,0,0,0
RST,MEM,Rochester,Memphis,0,0,0,0
YMX,YYZ,Montréal,Toronto,0,0,0,0
CDG,BLQ,Paris,Bologna,0,0,0,0
LAX,MEM,Los Angeles,Memphis,0,0,0,0
GTF,MEM,Great Falls,Memphis,0,0,0,0
GTF,MEM,Great Falls,Memphis,0,0,0,0
MDT,IND,Harrisburg,Indianapolis,0,0,0,0
TLH,MCO,Tallahassee,Orlando,0,0,0,0
CDG,KIX,Paris,Osaka,0,0,0,0
CDG,DXB,Paris,Dubai,0,0,0,0
SLC,IND,Salt Lake City,Indianapolis,0,0,0,0
JAX,AFW,Jacksonville,Fort Worth,0,0,0,0
MSN,IND,Madison,Indianapolis,0,0,0,0
BMI,MEM,Bloomington-Normal,Memphis,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
CDG,BLQ,Paris,Bologna,0,0,0,0
CDG,PRG,Paris,Prague,0,0,0,0
LGG,BLL,Liege,Billund,0,0,0,0
MTY,MEM,Monterrey,Memphis,0,0,0,0
BOS,EWR,Boston,Newark,0,0,0,0
BUF,IND,Buffalo,Indianapolis,0,0,0,0
BUF,IND,Buffalo,Indianapolis,0,0,0,0
CPR,MEM,Casper,Memphis,0,0,0,0
CDG,NUE,Paris,Nuremberg,0,0,0,0
LGG,BCN,Liege,Barcelona,0,0,0,0
MTY,MEM,Monterrey,Memphis,0,0,0,0
JFK,MEM,New York,Memphis,0,0,0,0
ANC,MEM,Anchorage,Memphis,0,0,0,0
FSD,MEM,Sioux Falls,Memphis,0,0,0,0
TLH,MCO,Tallahassee,Orlando,0,0,0,0
BWI,IND,Baltimore,Indianapolis,0,0,0,0
CDG,BSL,Paris,Mulhouse,0,0,0,0
CDG,BCN,Paris,Barcelona,0,0,0,0
RST,MEM,Rochester,Memphis,0,0,0,0
AFW,IND,Fort Worth,Indianapolis,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
LGG,BCN,Liege,Barcelona,0,0,0,0
LGG,BLL,Liege,Billund,0,0,0,0
MSP,IND,Minneapolis,Indianapolis,0,0,0,0
OMA,MEM,Omaha,Memphis,0,0,0,0
BFM,MEM,Mobile,Memphis,0,0,0,0
ATL,IND,Atlanta,Indianapolis,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
MSP,AFW,Minneapolis,Fort Worth,0,0,0,0
RNO,OAK,Reno,Oakland,0,0,0,0
TLC,MEM,Toluca,Memphis,0,0,0,0
JFK,MEM,New York,Memphis,0,0,0,0
ONT,MEM,Ontario,Memphis,0,0,0,0
SLC,IND,Salt Lake City,Indianapolis,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
LGG,VIE,Liege,Vienna,0,0,0,0
CDG,ARN,Paris,Stockholm,0,0,0,0
LGG,BLL,Liege,Billund,0,0,0,0
CDG,SNN,Paris,Shannon,0,0,0,0
MSY,MEM,New Orleans,Memphis,0,0,0,0
IAD,MEM,Washington,Memphis,0,0,0,0
BWI,MEM,Baltimore,Memphis,0,0,0,0
MSN,MEM,Madison,Memphis,0,0,0,0
LBB,DFW,Lubbock,Dallas-Fort Worth,0,0,0,0
DTW,EWR,Detroit,Newark,0,0,0,0
MDT,EWR,Harrisburg,Newark,0,0,0,0
TLH,MEM,Tallahassee,Memphis,0,0,0,0
IAD,IND,Washington,Indianapolis,0,0,0,0
CID,MEM,Cedar Rapids,Memphis,0,0,0,0
HTS,LCK,Huntington,Columbus,0,0,0,0
RST,MEM,Rochester,Memphis,0,0,0,0
IAD,MEM,Washington,Memphis,0,0,0,0
BMI,MEM,Bloomington-Normal,Memphis,0,0,0,0
SGF,MEM,Springfield,Memphis,0,0,0,0
CDG,GOT,Paris,Gothenburg,0,0,0,0
CDG,PRG,Paris,Prague,0,0,0,0
CDG,PRG,Paris,Prague,0,0,0,0
EWR,GSO,Newark,Greensboro,0,0,0,0
PHL,MEM,Philadelphia,Memphis,0,0,0,0
DFW,MEM,Dallas-Fort Worth,Memphis,0,0,0,0
BFM,ATL,Mobile,Atlanta,0,0,0,0
CVG,MEM,Cincinnati,Memphis,0,0,0,0
MCO,IND,Orlando,Indianapolis,0,0,0,0
CAE,GSO,Columbia,Greensboro,0,0,0,0
SHV,MEM,Shreveport,Memphis,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
MSP,AFW,Minneapolis,Fort Worth,0,0,0,0
TLH,MEM,Tallahassee,Memphis,0,0,0,0
CDG,SNN,Paris,Shannon,0,0,0,0
GDL,MEM,Guadalajara,Memphis,0,0,0,0
KIX,ANC,Osaka,Anchorage,0,0,0,0
LAX,MEM,Los Angeles,Memphis,0,0,0,0
CAE,MEM,Columbia,Memphis,0,0,0,0
GTF,MEM,Great Falls,Memphis,0,0,0,0
DTW,IND,Detroit,Indianapolis,0,0,0,0
CVG,MEM,Cincinnati,Memphis,0,0,0,0
ALB,EWR,Albany,Newark,0,0,0,0
SGF,MEM,Springfield,Memphis,0,0,0,0
CDG,KIX,Paris,Osaka,0,0,0,0
LGG,DWC,Liege,Dubai,0,0,0,0
MSN,IND,Madison,Indianapolis,0,0,0,0
SGF,MEM,Springfield,Memphis,0,0,0,0
CDG,GOT,Paris,Gothenburg,0,0,0,0
CDG,NUE,Paris,Nuremberg,0,0,0,0
EWR,GSO,Newark,Greensboro,0,0,0,0
MSY,MEM,New Orleans,Memphis,0,0,0,0
LAS,MEM,Las Vegas,Memphis,0,0,0,0
IAD,MEM,Washington,Memphis,0,0,0,0
ANC,IND,Anchorage,Indianapolis,0,0,0,0
PHX,MEM,Phoenix,Memphis,0,0,0,0
LBB,MEM,Lubbock,Memphis,0,0,0,0
FNT,MEM,Flint,Memphis,0,0,0,0
BMI,MEM,Bloomington-Normal,Memphis,0,0,0,0
TLH,MEM,Tallahassee,Memphis,0,0,0,0
SGF,MEM,Springfield,Memphis,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
ABQ,PHX,Albuquerque,Phoenix,0,0,0,0
DTW,IND,Detroit,Indianapolis,0,0,0,0
DFW,MEM,Dallas-Fort Worth,Memphis,0,0,0,0
CLE,IND,Cleveland,Indianapolis,0,0,0,0
CLT,IND,Charlotte,Indianapolis,0,0,0,0
CLE,IND,Cleveland,Indianapolis,0,0,0,0
RST,MEM,Rochester,Memphis,0,0,0,0
CAE,GSO,Columbia,Greensboro,0,0,0,0
MSP,AFW,Minneapolis,Fort Worth,0,0,0,0
MSN,IND,Madison,Indianapolis,0,0,0,0
CID,MEM,Cedar Rapids,Memphis,0,0,0,0
LGG,BLL,Liege,Billund,0,0,0,0
MTY,MEM,Monterrey,Memphis,0,0,0,0
BOS,EWR,Boston,Newark,0,0,0,0
CDG,DXB,Paris,Dubai,0,0,0,0
CDG,DEL,Paris,New Delhi,0,0,0,0
CDG,MUC,Paris,Munich,0,0,0,0
CDG,AMS,Paris,Amsterdam,0,0,0,0
CID,MEM,Cedar Rapids,Memphis,0,0,0,0
BMI,MEM,Bloomington-Normal,Memphis,0,0,0,0
TLH,MEM,Tallahassee,Memphis,0,0,0,0
SGF,MEM,Springfield,Memphis,0,0,0,0
MSY,MEM,New Orleans,Memphis,0,0,0,0
MSY,MEM,New Orleans,Memphis,0,0,0,0
OMA,MEM,Omaha,Memphis,0,0,0,0
DFW,MEM,Dallas-Fort Worth,Memphis,0,0,0,0
CAE,MEM,Columbia,Memphis,0,0,0,0
CLT,IND,Charlotte,Indianapolis,0,0,0,0
LBB,MEM,Lubbock,Memphis,0,0,0,0
DTW,IND,Detroit,Indianapolis,0,0,0,0
IAD,IND,Washington,Indianapolis,0,0,0,0
MDT,EWR,Harrisburg,Newark,0,0,0,0
DTW,EWR,Detroit,Newark,0,0,0,0
CAE,GSO,Columbia,Greensboro,0,0,0,0
TLH,MCO,Tallahassee,Orlando,0,0,0,0
TLH,MCO,Tallahassee,Orlando,0,0,0,0
TLH,MCO,Tallahassee,Orlando,0,0,0,0
TLH,MCO,Tallahassee,Orlando,0,0,0,0
HNL,OAK,Honolulu,Oakland,0,0,0,0
DHN,MEM,Dothan,Memphis,0,0,0,0
FWA,MEM,Fort Wayne,Memphis,0,0,0,0
CDG,GOT,Paris,Gothenburg,0,0,0,0
LYS,NCE,Lyon,Nice,0,0,0,0
MSP,IND,Minneapolis,Indianapolis,0,0,0,0
EWR,GSO,Newark,Greensboro,0,0,0,0
MTY,MEM,Monterrey,Memphis,0,0,0,0
LAX,MEM,Los Angeles,Memphis,0,0,0,0
MDT,EWR,Harrisburg,Newark,0,0,0,0
PHX,MEM,Phoenix,Memphis,0,0,0,0
CDG,BUD,Paris,Budapest,0,0,0,0
CDG,BCN,Paris,Barcelona,0,0,0,0
FWA,MEM,Fort Wayne,Memphis,0,0,0,0
SYR,EWR,Syracuse,Newark,0,0,0,0
CDG,MRS,Paris,Marseille,0,0,0,0
MTY,MEM,Monterrey,Memphis,0,0,0,0
MSP,IND,Minneapolis,Indianapolis,0,0,0,0
LAS,PHX,Las Vegas,Phoenix,0,0,0,0
FNT,MEM,Flint,Memphis,0,0,0,0
CDG,DXB,Paris,Dubai,0,0,0,0
SHV,MEM,Shreveport,Memphis,0,0,0,0
DTW,EWR,Detroit,Newark,0,0,0,0
CDG,MRS,Paris,Marseille,0,0,0,0
LGG,VIE,Liege,Vienna,0,0,0,0
MSP,IND,Minneapolis,Indianapolis,0,0,0,0
ANC,AFW,Anchorage,Fort Worth,0,0,0,0
MEM,TPA,Memphis,Tampa,0,0,0,0
CID,MEM,Cedar Rapids,Memphis,0,0,0,0
SEA,ANC,Seattle,Anchorage,0,0,0,0
IAD,IND,Washington,Indianapolis,0,0,0,0
PHL,MEM,Philadelphia,Memphis,0,0,0,0
DTW,MEM,Detroit,Memphis,0,0,0,0
JFK,IND,New York,Indianapolis,0,0,0,0
PHX,MEM,Phoenix,Memphis,0,0,0,0
CLT,IND,Charlotte,Indianapolis,0,0,0,0
CLE,IND,Cleveland,Indianapolis,0,0,0,0
SEA,ANC,Seattle,Anchorage,0,0,0,0
SEA,ANC,Seattle,Anchorage,0,0,0,0
CDG,DEL,Paris,New Delhi,0,0,0,0
KIX,NRT,Osaka,Tokyo,0,0,0,0
IAD,IND,Washington,Indianapolis,0,0,0,0
CDG,OSL,Paris,Oslo,0,0,0,0
CDG,OTP,Paris,Bucharest,0,0,0,0
EWR,MEM,Newark,Memphis,0,0,0,0
CLE,IND,Cleveland,Indianapolis,0,0,0,0
MKE,MEM,Milwaukee,Memphis,0,0,0,0
BWI,IND,Baltimore,Indianapolis,0,0,0,0
ONT,AFW,Ontario,Fort Worth,0,0,0,0
LBB,AFW,Lubbock,Fort Worth,0,0,0,0
DHN,MEM,Dothan,Memphis,0,0,0,0
ATL,IND,Atlanta,Indianapolis,0,0,0,0
CDG,WAW,Paris,Warsaw,0,0,0,0
CDG,SNN,Paris,Shannon,0,0,0,0
CRK,SIN,Angeles City,Singapore,0,0,0,0
OAK,AFW,Oakland,Fort Worth,0,0,0,0
DTW,MEM,Detroit,Memphis,0,0,0,0
IAD,EWR,Washington,Newark,0,0,0,0
ONT,AFW,Ontario,Fort Worth,0,0,0,0
CDG,LYS,Paris,Lyon,0,0,0,0
CDG,ATH,Paris,Athens,0,0,0,0
IAD,MEM,Washington,Memphis,0,0,0,0
CAE,MEM,Columbia,Memphis,0,0,0,0
RNO,OAK,Reno,Oakland,0,0,0,0
SHV,MEM,Shreveport,Memphis,0,0,0,0
TYS,IND,Knoxville,Indianapolis,0,0,0,0
DTW,MEM,Detroit,Memphis,0,0,0,0
HNL,OAK,Honolulu,Oakland,0,0,0,0
LAX,MEM,Los Angeles,Memphis,0,0,0,0
EWR,MEM,Newark,Memphis,0,0,0,0
MKE,MEM,Milwaukee,Memphis,0,0,0,0
MKE,MEM,Milwaukee,Memphis,0,0,0,0
DTW,IND,Detroit,Indianapolis,0,0,0,0
CDG,BUD,Paris,Budapest,0,0,0,0
IAD,EWR,Washington,Newark,0,0,0,0
CDG,OTP,Paris,Bucharest,0,0,0,0
CDG,SNN,Paris,Shannon,0,0,0,0
BKK,KIX,Bangkok,Osaka,0,0,0,0
HNL,OAK,Honolulu,Oakland,0,0,0,0
YMX,IND,Montréal,Indianapolis,0,0,0,0
OMA,MEM,Omaha,Memphis,0,0,0,0
JFK,MEM,New York,Memphis,0,0,0,0
LBB,AFW,Lubbock,Fort Worth,0,0,0,0
CDG,DWC,Paris,Dubai,0,0,0,0
DHN,MEM,Dothan,Memphis,0,0,0,0
JFK,MEM,New York,Memphis,0,0,0,0
TYS,IND,Knoxville,Indianapolis,0,0,0,0
CDG,OSL,Paris,Oslo,0,0,0,0
CLT,MEM,Charlotte,Memphis,0,0,0,0
MSY,MEM,New Orleans,Memphis,0,0,0,0
AUS,ELP,Austin,El Paso,0,0,0,0
NRT,ANC,Tokyo,Anchorage,0,0,0,0
DTW,MEM,Detroit,Memphis,0,0,0,0
KIX,HKG,Osaka,Hong Kong,0,0,0,0
SEA,ANC,Seattle,Anchorage,0,0,0,0
CDG,BER,Paris,Schönefeld,0,0,0,0
OKC,MEM,Oklahoma City,Memphis,0,0,0,0
MCO,IND,Orlando,Indianapolis,0,0,0,0
SYR,EWR,Syracuse,Newark,0,0,0,0
OAK,AFW,Oakland,Fort Worth,0,0,0,0
EWR,MEM,Newark,Memphis,0,0,0,0
MDT,EWR,Harrisburg,Newark,0,0,0,0
CDG,DEL,Paris,New Delhi,0,0,0,0
BOI,OAK,Boise,Oakland,0,0,0,0
CDG,ATH,Paris,Athens,0,0,0,0
SIN,BKK,Singapore,Bangkok,0,0,0,0
GRR,MEM,Grand Rapids,Memphis,0,0,0,0
OKC,MEM,Oklahoma City,Memphis,0,0,0,0
LBB,AFW,Lubbock,Fort Worth,0,0,0,0
BWI,EWR,Baltimore,Newark,0,0,0,0
DHN,MEM,Dothan,Memphis,0,0,0,0
CDG,BCN,Paris,Barcelona,0,0,0,0
BOI,OAK,Boise,Oakland,0,0,0,0
FWA,MEM,Fort Wayne,Memphis,0,0,0,0
ATL,AFW,Atlanta,Fort Worth,0,0,0,0
FWA,MEM,Fort Wayne,Memphis,0,0,0,0
CDG,OSL,Paris,Oslo,0,0,0,0
IAH,MEM,Houston,Memphis,0,0,0,0
GRR,MEM,Grand Rapids,Memphis,0,0,0,0
SHV,MEM,Shreveport,Memphis,0,0,0,0
TLH,MEM,Tallahassee,Memphis,0,0,0,0
CDG,STN,Paris,London,0,0,0,0
EWR,IND,Newark,Indianapolis,0,0,0,0
IAH,MEM,Houston,Memphis,0,0,0,0
CLT,IND,Charlotte,Indianapolis,0,0,0,0
ONT,AFW,Ontario,Fort Worth,0,0,0,0
ALB,EWR,Albany,Newark,0,0,0,0
MSP,AFW,Minneapolis,Fort Worth,0,0,0,0
CDG,BUD,Paris,Budapest,0,0,0,0
DEN,MEM,Denver,Memphis,0,0,0,0
DEN,MEM,Denver,Memphis,0,0,0,0
EWR,MEM,Newark,Memphis,0,0,0,0
KIX,ANC,Osaka,Anchorage,0,0,0,0
CDG,MUC,Paris,Munich,0,0,0,0
CDG,OPO,Paris,Porto,0,0,0,0
CID,MEM,Cedar Rapids,Memphis,0,0,0,0
CDG,BUD,Paris,Budapest,0,0,0,0
MCI,MEM,Kansas City,Memphis,0,0,0,0
MEM,ONT,Memphis,Ontario,0,0,0,0
OKC,MEM,Oklahoma City,Memphis,0,0,0,0
GRR,IND,Grand Rapids,Indianapolis,0,0,0,0
ONT,AFW,Ontario,Fort Worth,0,0,0,0
TYS,IND,Knoxville,Indianapolis,0,0,0,0
CDG,BLQ,Paris,Bologna,0,0,0,0
LAX,AFW,Los Angeles,Fort Worth,0,0,0,0
IAH,IND,Houston,Indianapolis,0,0,0,0
DFW,MEM,Dallas-Fort Worth,Memphis,0,0,0,0
MKE,MEM,Milwaukee,Memphis,0,0,0,0
ALB,EWR,Albany,Newark,0,0,0,0
CDG,MEM,Paris,Memphis,0,0,0,0
SEA,ANC,Seattle,Anchorage,0,0,0,0
CDG,OPO,Paris,Porto,0,0,0,0
IAD,EWR,Washington,Newark,0,0,0,0
ATL,EWR,Atlanta,Newark,0,0,0,0
CDG,BLQ,Paris,Bologna,0,0,0,0
BKK,KIX,Bangkok,Osaka,0,0,0,0
DEN,MEM,Denver,Memphis,0,0,0,0
JFK,IND,New York,Indianapolis,0,0,0,0
GRR,MEM,Grand Rapids,Memphis,0,0,0,0
GRR,IND,Grand Rapids,Indianapolis,0,0,0,0
KIX,ANC,Osaka,Anchorage,0,0,0,0
CDG,CAN,Paris,Guangzhou,0,0,0,0
SHV,MEM,Shreveport,Memphis,0,0,0,0
CDG,BCN,Paris,Barcelona,0,0,0,0
AFW,IND,Fort Worth,Indianapolis,0,0,0,0
AFW,IND,Fort Worth,Indianapolis,0,0,0,0
EWR,GSO,Newark,Greensboro,0,0,0,0
DTW,MEM,Detroit,Memphis,0,0,0,0
IAH,MEM,Houston,Memphis,0,0,0,0
ALB,EWR,Albany,Newark,0,0,0,0
CDG,OTP,Paris,Bucharest,0,0,0,0
GRR,MEM,Grand Rapids,Memphis,0,0,0,0
LBB,AFW,Lubbock,Fort Worth,0,0,0,0
IAH,MEM,Houston,Memphis,0,0,0,0
CDG,OPO,Paris,Porto,0,0,0,0
SYR,EWR,Syracuse,Newark,0,0,0,0
GRR,IND,Grand Rapids,Indianapolis,0,0,0,0
CDG,OSL,Paris,Oslo,0,0,0,0
EWR,IND,Newark,Indianapolis,0,0,0,0
PHX,MEM,Phoenix,Memphis,0,0,0,0
TUL,OKC,Tulsa,Oklahoma City,0,0,0,0
IAH,IND,Houston,Indianapolis,0,0,0,0
SAT,MEM,San Antonio,Memphis,0,0,0,0
MCI,MEM,Kansas City,Memphis,0,0,0,0
ANC,IND,Anchorage,Indianapolis,0,0,0,0
GRR,MEM,Grand Rapids,Memphis,0,0,0,0
LBB,MEM,Lubbock,Memphis,0,0,0,0
DAY,MEM,Dayton,Memphis,0,0,0,0
NRT,OAK,Tokyo,Oakland,0,0,0,0
SBN,MEM,South Bend,Memphis,0,0,0,0
CDG,OPO,Paris,Porto,0,0,0,0
DAY,MEM,Dayton,Memphis,0,0,0,0
CDG,STR,Paris,Stuttgart,0,0,0,0
BKK,KIX,Bangkok,Osaka,0,0,0,0
MIA,MEM,Miami,Memphis,0,0,0,0
EWR,IND,Newark,Indianapolis,0,0,0,0
GRR,IND,Grand Rapids,Indianapolis,0,0,0,0
CDG,GOT,Paris,Gothenburg,0,0,0,0
OAK,AFW,Oakland,Fort Worth,0,0,0,0
ALB,EWR,Albany,Newark,0,0,0,0
BHM,MEM,Birmingham,Memphis,0,0,0,0
SAN,OAK,San Diego,Oakland,0,0,0,0
LAX,AFW,Los Angeles,Fort Worth,0,0,0,0
MCI,MEM,Kansas City,Memphis,0,0,0,0
SLC,MEM,Salt Lake City,Memphis,0,0,0,0
PHL,MEM,Philadelphia,Memphis,0,0,0,0
CDG,MUC,Paris,Munich,0,0,0,0
SBN,MEM,South Bend,Memphis,0,0,0,0
ATL,EWR,Atlanta,Newark,0,0,0,0
BHM,MEM,Birmingham,Memphis,0,0,0,0
CDG,OTP,Paris,Bucharest,0,0,0,0
LAX,AFW,Los Angeles,Fort Worth,0,0,0,0
PDX,MEM,Portland,Memphis,0,0,0,0
SAN,OAK,San Diego,Oakland,0,0,0,0
CDG,TLV,Paris,Tel Aviv,0,0,0,0
CDG,MUC,Paris,Munich,0,0,0,0
BHM,MEM,Birmingham,Memphis,0,0,0,0
DAY,MEM,Dayton,Memphis,0,0,0,0
TYS,IND,Knoxville,Indianapolis,0,0,0,0
IAH,IND,Houston,Indianapolis,0,0,0,0
DEN,IND,Denver,Indianapolis,0,0,0,0
TUL,MEM,Tulsa,Memphis,0,0,0,0
DAY,MEM,Dayton,Memphis,0,0,0,0
SAN,OAK,San Diego,Oakland,0,0,0,0
CAN,DXB,Guangzhou,Dubai,0,0,0,0
COS,MEM,Colorado Springs,Memphis,0,0,0,0
COS,MEM,Colorado Springs,Memphis,0,0,0,0
CDG,MRS,Paris,Marseille,0,0,0,0
CDG,LIS,Paris,Lisbon,0,0,0,0
IAH,IND,Houston,Indianapolis,0,0,0,0
TUL,MEM,Tulsa,Memphis,0,0,0,0
AUS,MEM,Austin,Memphis,0,0,0,0
BHM,MEM,Birmingham,Memphis,0,0,0,0
MIA,MEM,Miami,Memphis,0,0,0,0
LAX,AFW,Los Angeles,Fort Worth,0,0,0,0
MIA,MEM,Miami,Memphis,0,0,0,0
DEN,MEM,Denver,Memphis,0,0,0,0
IAH,AFW,Houston,Fort Worth,0,0,0,0
EWR,SEA,Newark,Seattle,0,0,0,0
LCK,MEM,Columbus,Memphis,0,0,0,0
SBN,MEM,South Bend,Memphis,0,0,0,0
BHM,MEM,Birmingham,Memphis,0,0,0,0
CDG,STR,Paris,Stuttgart,0,0,0,0
CDG,ATH,Paris,Athens,0,0,0,0
OAK,AFW,Oakland,Fort Worth,0,0,0,0
AUS,MEM,Austin,Memphis,0,0,0,0
AUS,MEM,Austin,Memphis,0,0,0,0
SBN,MEM,South Bend,Memphis,0,0,0,0
SAN,OAK,San Diego,Oakland,0,0,0,0
SBN,MEM,South Bend,Memphis,0,0,0,0
CDG,LYS,Paris,Lyon,0,0,0,0
PHX,OAK,Phoenix,Oakland,0,0,0,0
ANC,KIX,Anchorage,Osaka,0,0,0,0
MIA,MEM,Miami,Memphis,0,0,0,0
PHX,OAK,Phoenix,Oakland,0,0,0,0
DEN,MEM,Denver,Memphis,0,0,0,0
EWR,IND,Newark,Indianapolis,0,0,0,0
IND,MEM,Indianapolis,Memphis,0,0,0,0
CDG,CAN,Paris,Guangzhou,0,0,0,0
COS,MEM,Colorado Springs,Memphis,0,0,0,0
COS,MEM,Colorado Springs,Memphis,0,0,0,0
DEN,IND,Denver,Indianapolis,0,0,0,0
DEN,IND,Denver,Indianapolis,0,0,0,0
MDT,IND,Harrisburg,Indianapolis,0,0,0,0
CID,IND,Cedar Rapids,Indianapolis,0,0,0,0
LCK,MEM,Columbus,Memphis,0,0,0,0
LCK,MEM,Columbus,Memphis,0,0,0,0
IND,MEM,Indianapolis,Memphis,0,0,0,0
STL,MEM,St Louis,Memphis,0,0,0,0
IAH,AFW,Houston,Fort Worth,0,0,0,0
FLL,MEM,Fort Lauderdale,Memphis,0,0,0,0
HNL,OAK,Honolulu,Oakland,0,0,0,0
SDF,MEM,Louisville,Memphis,0,0,0,0
SAT,MEM,San Antonio,Memphis,0,0,0,0
RNO,OAK,Reno,Oakland,0,0,0,0
JFK,MEM,New York,Memphis,0,0,0,0
FWA,MEM,Fort Wayne,Memphis,0,0,0,0
PHX,OAK,Phoenix,Oakland,0,0,0,0
MIA,MEM,Miami,Memphis,0,0,0,0
SLC,OAK,Salt Lake City,Oakland,0,0,0,0
YMX,IND,Montréal,Indianapolis,0,0,0,0
RNO,OAK,Reno,Oakland,0,0,0,0
IND,MEM,Indianapolis,Memphis,0,0,0,0
YMX,IND,Montréal,Indianapolis,0,0,0,0
ATL,AFW,Atlanta,Fort Worth,0,0,0,0
BFM,MEM,Mobile,Memphis,0,0,0,0
MKE,MEM,Milwaukee,Memphis,0,0,0,0
CVG,MEM,Cincinnati,Memphis,0,0,0,0
JFK,MEM,New York,Memphis,0,0,0,0
IND,MEM,Indianapolis,Memphis,0,0,0,0
STL,MEM,St Louis,Memphis,0,0,0,0
IAH,AFW,Houston,Fort Worth,0,0,0,0
SLC,OAK,Salt Lake City,Oakland,0,0,0,0
OMA,MEM,Omaha,Memphis,0,0,0,0
SDF,MEM,Louisville,Memphis,0,0,0,0
MCI,IND,Kansas City,Indianapolis,0,0,0,0
IND,MEM,Indianapolis,Memphis,0,0,0,0
YMX,MEM,Montréal,Memphis,0,0,0,0
TUL,MEM,Tulsa,Memphis,0,0,0,0
CID,IND,Cedar Rapids,Indianapolis,0,0,0,0
CDG,SIN,Paris,Singapore,0,0,0,0
CDG,DEL,Paris,New Delhi,0,0,0,0
SJC,MEM,San Jose,Memphis,0,0,0,0
MCI,MEM,Kansas City,Memphis,0,0,0,0
SAT,MEM,San Antonio,Memphis,0,0,0,0
BOS,IND,Boston,Indianapolis,0,0,0,0
ATL,IND,Atlanta,Indianapolis,0,0,0,0
JFK,IND,New York,Indianapolis,0,0,0,0
SDF,MEM,Louisville,Memphis,0,0,0,0
CSG,MEM,Columbus,Memphis,0,0,0,0
CSG,MEM,Columbus,Memphis,0,0,0,0
ICT,MEM,Wichita,Memphis,0,0,0,0
ONT,MEM,Ontario,Memphis,0,0,0,0
CDG,LIS,Paris,Lisbon,0,0,0,0
SDF,MEM,Louisville,Memphis,0,0,0,0
CSG,MEM,Columbus,Memphis,0,0,0,0
CSG,MEM,Columbus,Memphis,0,0,0,0
LCK,MEM,Columbus,Memphis,0,0,0,0
ATL,GSO,Atlanta,Greensboro,0,0,0,0
TUL,MEM,Tulsa,Memphis,0,0,0,0
SDF,MEM,Louisville,Memphis,0,0,0,0
CSG,MEM,Columbus,Memphis,0,0,0,0
TUL,AFW,Tulsa,Fort Worth,0,0,0,0
SHV,AFW,Shreveport,Fort Worth,0,0,0,0
LFT,MEM,Lafayette,Memphis,0,0,0,0
COS,MEM,Colorado Springs,Memphis,0,0,0,0
CDG,LIS,Paris,Lisbon,0,0,0,0
CDG,STR,Paris,Stuttgart,0,0,0,0
CDG,STR,Paris,Stuttgart,0,0,0,0
STL,MEM,St Louis,Memphis,0,0,0,0
STL,MEM,St Louis,Memphis,0,0,0,0
MCI,IND,Kansas City,Indianapolis,0,0,0,0
SAN,OAK,San Diego,Oakland,0,0,0,0
ATL,EWR,Atlanta,Newark,0,0,0,0
LFT,MEM,Lafayette,Memphis,0,0,0,0
